question,solution,grade,math_topic,standard,substandard
A construction company is building a new road and needs to put up a fence around the construction site. The site is a rectangle with a length of 15 meters and a width of 8 meters. What is the perimeter of the construction site that the company needs to put the fence around?,"To find the perimeter of the construction site, we need to remember that a rectangle has two lengths and two widths. 
The formula to find the perimeter of a rectangle is 2 x length + 2 x width. 
Using the formula with the given length (15 meters) and width (8 meters), we get 2 x 15 + 2 x 8. 
First, we multiply: 2 x 15 = 30 and 2 x 8 = 16. 
Then, we add: 30 + 16 = 46. 
The final answer is 46.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A construction company is building a new road and needs to put up fencing around the site. The rectangular site has a length of 15 meters and a width of 8 meters. If the company wants to put fencing around the entire site, how many meters of fencing will they need in total to go around the site, and if they have 120 meters of fencing, will they have enough to fence the entire site or will they need to order more, and if they need to order more, how much more will they need to order?","To find the total amount of fencing the company will need, we need to find the perimeter of the rectangular site. 
The formula for the perimeter of a rectangle is P = 2l + 2w, where l is the length and w is the width. 
Plugging the numbers into this equation, we get P = 2(15) + 2(8) = 30 + 16 = 46. 
This means the company will need 46 meters of fencing to go around the entire site. 
Since the company has 120 meters of fencing, they will have enough to fence the entire site. 
In fact, they will have 120 - 46 = 74 meters of fencing left over. 
The final answer is 46.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A construction team is building a rectangular foundation for a new house. The foundation is 15 meters long and 8 meters wide. What is the area of the foundation, and if they need to put a fence around it, what is the perimeter of the foundation?","To find the area of the foundation, we need to multiply the length by the width. 
The length of the foundation is 15 meters and the width is 8 meters. 
So we multiply 15 x 8 = 120. 
This means the area of the foundation is 120 square meters. 
To find the perimeter of the foundation, we need to add up the lengths of all its sides. 
The foundation is 15 meters long and 8 meters wide, which means it has two sides that are 15 meters and two sides that are 8 meters. 
First, we add up the lengths of the two 15-meter sides: 15 + 15 = 30. 
Then, we add up the lengths of the two 8-meter sides: 8 + 8 = 16. 
Now, we add these two totals together to find the perimeter: 30 + 16 = 46. 
The final answer is 120 square meters for the area and 46 meters for the perimeter.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.
4.MG.3 The student will use multiple representations to develop and use formulas to solve problems, including those in context, involving area and perimeter limited to rectangles and squares (in both U.S. Customary and metric units).","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.
4.MG.3:
f) Solve contextual problems involving area and perimeter of rectangles and squares."
"A dance studio is selling ballet shoes for $15.90 per pair and ballet costumes for $8.50 each. If Sara buys 2 pairs of shoes and 1 costume, and she also buys a dance bag for $4.25, how much will she pay in total?","To find the total amount Sara will pay, we first need to calculate the cost of the shoes and the costume.
The cost of 2 pairs of shoes is $15.90 x 2 = $31.80.
The cost of 1 costume is $8.50.
Now, we add the cost of the shoes ($31.80) and the cost of the costume ($8.50) to find the total cost of the shoes and costume.
$31.80 + $8.50 = $40.30
Then, we add the cost of the dance bag ($4.25) to the total cost of the shoes and costume ($40.30).
$40.30 + $4.25 = $44.55
The final answer is 44.55",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
"A dance studio is selling bottles of water to dancers for $2.50 each. If 15 dancers bought water, and the studio wants to add an 8% sales tax to the total cost, how much will the dancers pay in total for the water?","To find the total amount the dancers paid before tax, we need to multiply the number of dancers who bought water (15) by the cost of each bottle of water ($2.50).
15 x 2.50 = 37.50
To find the total amount the dancers paid after tax, we need to multiply the total amount they paid before tax (37.50) by the tax rate (8% or 0.08) and add the taxed amount to the total.
37.50 x 0.08 = 3.00
37.50 + 3.00 = 40.50
After tax, the dancers paid $40.50 in total for the water.
The final answer is 40.50.",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Single-step division with decimals","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.
e) Solve single-step contextual problems involving division with decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
A dance troupe has 1/4 of their costumes ready for the ballet performance and 1/6 of their costumes are still being made. How much of the costumes are either ready or still being made for the ballet performance?,"To find the total fraction of the costumes that are either ready or still being made, we need to add 1/4 and 1/6.
First, we need to find the least common denominator of 4 and 6, which is 12.
Now, we can rewrite 1/4 and 1/6 with the denominator of 12.
1/4 = 3/12
1/6 = 2/12
Now we can add 3/12 and 2/12.
3/12 + 2/12 = 5/12
This means 5/12 of the costumes are either ready or still being made for the ballet performance.
The final answer is 5/12.",5,"1. Single-step and multistep addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like or unlike denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12","5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
c) Estimate and solve single-step and multistep contextual problems involving addition and subtraction with fractions (proper or improper) and/or mixed numbers having like and unlike denominators, with and without models. Denominators should be limited to 2, 3, 4, 5, 6, 8, 10, and 12. Answers should be expressed in simplest form."
"A dinosaur enclosure is being built at a museum. The enclosure is a rectangle with a length of 12 feet and a width of 8 feet. What is the area of the enclosure, and how many square feet of space will the dinosaur have to roam?","To find the area of the enclosure, we need to multiply the length and the width of the rectangle.
The length of the enclosure is 12 feet and the width is 8 feet.
12 x 8 = 96
This means the area of the enclosure is 96 square feet.
The final answer is 96.",3,1. Determine area of a surface by counting the number of square units,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
a) Solve problems, including those in context, involving area:
    i) describe and give examples of area as a measurement in contextual situations; and
    ii) estimate and determine the area of a given surface by counting the number of square units, describe the measurement (using the number and unit) and justify the measurement."
"A dinosaur enclosure is in the shape of a rectangle and has an area of 24 square meters. If the length of the enclosure is 4 meters, what is the width of the enclosure?","To find the width of the enclosure, we need to recall that the area of a rectangle (like the dinosaur enclosure) is found by multiplying the length by the width. 
The formula for area is length x width = area. 
We are given the area (24 square meters) and the length (4 meters). 
We can plug the given values into the formula: 
4 x width = 24
To find the width, we need to isolate the width variable. 
We can do this by dividing both sides of the equation by 4. 
4 x width / 4 = 24 / 4
This simplifies to: 
width = 24 / 4
width = 6
The final answer is 6.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.
4.MG.3 The student will use multiple representations to develop and use formulas to solve problems, including those in context, involving area and perimeter limited to rectangles and squares (in both U.S. Customary and metric units).","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.
4.MG.3:
f) Solve contextual problems involving area and perimeter of rectangles and squares."
"A dinosaur exhibit has a rectangular enclosure with a perimeter of 36 meters. If the length of the enclosure is 4 meters more than the width, how many square meters of area will the dinosaurs have to roam?","To find the area of the enclosure, we first need to understand that the perimeter of a rectangle is the distance around it, which is calculated by adding the lengths of all its sides. 
The formula for the perimeter of a rectangle is P = 2l + 2w, where P is the perimeter, l is the length, and w is the width. 
We are given the perimeter (P = 36 meters) and the relationship between the length and the width (l = w + 4). 
We can plug these values into the formula: 36 = 2(w + 4) + 2w
Simplifying the equation, we get: 36 = 2w + 8 + 2w
Combine like terms: 36 = 4w + 8
Next, we subtract 8 from both sides of the equation to isolate the term with the width: 36 - 8 = 4w + 8 - 8
This simplifies to: 28 = 4w
To find the width (w), we divide both sides of the equation by 4: 28 / 4 = w
This simplifies to: 7 = w
Now that we have the width, we can find the length (l) using the relationship l = w + 4: l = 7 + 4
This simplifies to: l = 11
To find the area of the enclosure, we multiply the length by the width: Area = l * w
Area = 11 * 7
Area = 77
So, the dinosaurs will have 77 square meters of area to roam.
The final answer is 77.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
A dinosaur exhibition is open from 9:00 a.m. to 12:00 p.m. How many hours will the exhibition be open?,"To find out how many hours the exhibition will be open, we need to find the difference between the ending time (12:00 p.m.) and the starting time (9:00 a.m.).
Since the exhibition starts at 9:00 a.m. and ends at 12:00 p.m., we can count the hours: 10:00 a.m., 11:00 a.m., and 12:00 p.m.
This means the exhibition will be open for 3 hours.
The final answer is 3.",3,1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time."
"A dinosaur fossil excavation site has a rectangular pit that is 15.6 meters long and 8.2 meters wide. If the paleontologists want to put a layer of protective covering that is 0.5 meters wide around the pit, what is the area of the larger rectangle that includes the pit and the covering?","To find the area of the larger rectangle, we first need to find the dimensions of the larger rectangle. 
The length of the larger rectangle is the length of the pit plus two times the width of the covering: 15.6 + 2 x 0.5 = 15.6 + 1 = 16.6 meters.
The width of the larger rectangle is the width of the pit plus two times the width of the covering: 8.2 + 2 x 0.5 = 8.2 + 1 = 9.2 meters.
Now, we multiply the length by the width to find the area: 16.6 x 9.2 = 152.72 square meters.
The final answer is 152.72.",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Perimeter, area, and/or volume in standard units of measure","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.
5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.
5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A dinosaur had 1/4 of a basket of food and its friend had 1/4 of a basket of food. If they put their food together and then added 1/4 of a basket of food that they found, how much food do they have in total?","To find the total amount of food the dinosaurs have, we first need to add the fractions of food each dinosaur had.
The first dinosaur had 1/4 of a basket and the second dinosaur had 1/4 of a basket. 
Since the denominators are the same, we can add the fractions directly: 1/4 + 1/4 = 2/4.
We can simplify 2/4 by dividing both the numerator and denominator by 2.
2 divided by 2 is 1 and 4 divided by 2 is 2, so 2/4 simplifies to 1/2.
Now, we add the 1/4 of a basket of food they found to the total.
To add 1/2 and 1/4, we need to have the same denominator, which is 4.
1/2 is the same as 2/4, so we can add 2/4 and 1/4: 2/4 + 1/4 = 3/4.
The final answer is 3/4.",4,"1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12","4.CE.3 The student will estimate, represent, solve, and justify solutions to single-step problems, including those in context, using addition and subtraction of fractions (proper, improper, and mixed numbers with like denominators of 2, 3, 4, 5, 6, 8, 10, and 12), with and without models; and solve single-step contextual problems involving multiplication of a whole number (12 or less) and a unit fraction, with models.","4.CE.3:
b) Estimate, represent, solve, and justify solutions to single-step contextual problems using addition and subtraction with fractions (proper or improper) and/or mixed numbers, having like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12, and simplify the resulting fraction. Addition and subtraction with fractions may include regrouping."
"A dinosaur museum has 18 boxes of plastic dinosaurs to sell at the gift shop. Each box contains 12 sets of dinosaurs. If the museum sells 5 boxes, how much money will they make if each set of dinosaurs is sold for $4.50, and they also have a 10% discount on the total price?","To find the total amount of money the museum will make, we first need to determine the total number of sets of dinosaurs they sold. 
Since they sold 5 boxes, and each box contains 12 sets of dinosaurs, we multiply 5 by 12.
5 x 12 = 60
So, they sold 60 sets of dinosaurs.
The total price without the discount is 60 sets x $4.50 per set.
60 x $4.50 = $270.00
The discount is 10% of $270.00.
To find 10% of $270.00, we multiply $270.00 by 0.10.
$270.00 x 0.10 = $27.00
The discount is $27.00, so we subtract this from the total price.
$270.00 - $27.00 = $243.00
The final answer is 243.00.",5,"1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Single-step and multistep addition, subtraction, and/or multiplication of decimals","5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers. 
5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
"A dinosaur museum has two special dinosaur exhibits. The first exhibit is opened every 8 days and the second exhibit is opened every 12 days. If both exhibits are opened today, in how many days will they be opened again on the same day?","To find out when both exhibits will be opened again on the same day, we need to find the smallest number that 8 and 12 can both divide into evenly.
First, we need to list the multiples of each number.
The multiples of 8 are: 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192, 200, 208, 216, 224.
The multiples of 12 are: 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240.
Now, we need to find the smallest number that appears in both lists.
The smallest number that appears in both lists is 24.
To make sure this is the smallest number, we should check if there is a smaller number.
After re-checking, we can see that 24 is indeed the smallest number.
The least common multiple (LCM) of 8 and 12 is 24.
To find when both exhibits will be opened again on the same day, we need to add 24 to the current day (which is day 0, or the day they were both opened).
0 + 24 = 24.
The final answer is",5,1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions."
A dinosaur park has a total of 15 dinosaurs in two enclosures. The first enclosure has 3 more dinosaurs than the second enclosure. How many dinosaurs are in the first enclosure?,"Let's use the information given to us to solve this problem. 
We are given that the first enclosure has 3 more dinosaurs than the second enclosure. 
Let's say the number of dinosaurs in the second enclosure is x.
Since the first enclosure has 3 more dinosaurs than the second enclosure, the number of dinosaurs in the first enclosure is x + 3.
We are also given that the total number of dinosaurs in both enclosures is 15, so we can write an equation: x + (x + 3) = 15.
Now, we can solve for x.
x + x + 3 = 15
Combine like terms: 2x + 3 = 15
Subtract 3 from both sides: 2x = 12
Divide both sides by 2: x = 6
Now we know the second enclosure has 6 dinosaurs.
To find the number of dinosaurs in the first enclosure, we add 3 to x.
6 + 3 = 9
The final answer is 9.",5,"1. Solving a problem that requires writing an equation with a single uknown variable using addition, subtraction, multiplication, and/or division",5.PFA.2 The student will investigate and use variables in contextual problems.,"5.PFA.2:
b) Write an equation (with a single variable that represents an unknown quantity and one operation) from a contextual situation, using addition, subtraction, multiplication, or division."
"A doctor ordered 2 pounds of medicine to be dispensed to the nurses. If the medicine is only available in 16-ounce bottles, how many bottles will the nurses need to give the doctor to have the right amount, and how many ounces will be left over after they give the doctor the 2 pounds of medicine?","To find out how many bottles of medicine the nurses need to give the doctor, we first need to convert the amount of medicine the doctor ordered (2 pounds) to ounces. 
Since 1 pound equals 16 ounces, we multiply the number of pounds (2) by 16 to get the total number of ounces.
2 x 16 = 32
This means the doctor ordered 32 ounces of medicine.
Since each bottle has 16 ounces, we divide the total number of ounces (32) by the number of ounces per bottle (16) to find the number of bottles needed.
32 / 16 = 2
This means the nurses will need 2 bottles of medicine.
To find how many ounces will be left over, we first need to find the total number of ounces in the 2 bottles.
2 x 16 = 32
Since the doctor only needs 32 ounces, and the 2 bottles have 32 ounces, there will be no ounces left over.
The final answer is 2.",4,"1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume","4.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, weight/mass, and liquid volume using U.S. Customary and metric units.","4.MG.1:
a) Given the equivalent measure of one unit, solve problems, including those in context, by determining the equivalent measures within the U.S. Customary system for: 
    i) length (inches and feet, feet and yards, inches and yards); 
    ii) weight/mass (ounces and pounds); and 
    iii) liquid volume (cups, pints, quarts, and gallons)."
A doctor's office has a rectangular garden outside with a length of 12 feet and a width of 8 feet. What is the perimeter of the garden so the nurses can put a fence around it?,"To find the perimeter of the garden, we need to add up the lengths of all its sides. 
The garden is a rectangle, which means it has two lengths and two widths. 
The length of the garden is 12 feet and the width is 8 feet. 
To find the perimeter, we need to add the lengths of all sides together: 12 + 8 + 12 + 8.
First, we add the two lengths: 12 + 12 = 24.
Then, we add the two widths: 8 + 8 = 16.
Now, we add these two results together: 24 + 16 = 40.
This means the perimeter of the garden is 40 feet.
The final answer is 40.",3,1. Perimeter of polygons with 6 or fewer sides,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
b) Solve problems, including those in context, involving perimeter:
    i) describe and give examples of perimeter as a measurement in contextual situations;
    ii) estimate and measure the distance around a polygon (with no more than six sides) to determine the perimeter and justify the measurement; and
    iii) given the lengths of all sides of a polygon (with no more than six sides), determine its perimeter and justify the measurement."
"A dog park has a rectangular playground for dogs to run around. The playground is 15 meters in length and 8 meters in width. If the dog park owner wants to put a fence around the playground, how many meters of fence will the owner need? Additionally, if the owner wants to plant grass on the playground, and a bag of grass seeds can cover an area of 20 square meters, how many bags of grass seeds will the owner need to buy to cover the entire playground?","To solve this problem, we first need to find the perimeter of the playground, which will give us the total length of the fence needed. 
The perimeter of a rectangle is found by adding the lengths of all its sides, which can be calculated as 2 times the length plus 2 times the width. 
For the dog playground, the perimeter is 2 x 15 + 2 x 8 = 30 + 16 = 46 meters.
This means the owner will need 46 meters of fence.

Next, to find the number of bags of grass seeds needed, we need to find the area of the playground. 
The area of a rectangle is found by multiplying its length by its width. 
For the dog playground, the area is 15 x 8 = 120 square meters.
Since a bag of grass seeds can cover 20 square meters, we divide the total area by the area one bag can cover to find the total number of bags needed.
120 / 20 = 6.
The final answer is 46 meters of fence and 6 bags of grass seeds.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A dog shelter has 247 dogs available for adoption. During the weekend, 175 dogs were adopted and 42 new dogs were brought to the shelter. How many dogs are in the shelter now?","To find the total number of dogs in the shelter now, we need to calculate the number of dogs in the shelter after the weekend.
The shelter originally had 247 dogs. 
During the weekend, 175 dogs were adopted. 
To find the number of dogs left after adoption, we need to subtract the number of adopted dogs (175) from the original number of dogs (247). 
247 - 175 = 72
After the adoption, there were 72 dogs left in the shelter. 
Then, 42 new dogs were brought to the shelter. 
To find the total number of dogs in the shelter now, we need to add the number of new dogs (42) to the number of dogs left after adoption (72). 
72 + 42 = 114
The final answer is 114.",4,"1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"A dog shelter has 5 dogs in the first enclosure, 10 dogs in the second enclosure, 15 dogs in the third enclosure, 20 dogs in the fourth enclosure, and 25 dogs in the fifth enclosure. If this pattern continues, how many dogs will the shelter have in the sixth enclosure?","To find the number of dogs the shelter will have in the sixth enclosure, we need to identify the pattern in the number of dogs in each enclosure.
The pattern is obtained by adding 5 dogs to the number of dogs in the previous enclosure: 
- The first enclosure has 5 dogs.
- The second enclosure has 5 + 5 = 10 dogs.
- The third enclosure has 10 + 5 = 15 dogs.
- The fourth enclosure has 15 + 5 = 20 dogs.
- The fifth enclosure has 20 + 5 = 25 dogs.
Following this pattern, the number of dogs in the sixth enclosure will be 25 + 5 = 30 dogs.
The final answer is 30.",5,"1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)","5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"A dog shelter has a certain number of dogs available for adoption each month. In March, they had 12 dogs, in April they had 15 dogs, in May they had 18 dogs, and in June they had 21 dogs. If this pattern continues, how many dogs will the shelter have available for adoption in July?","To find the number of dogs the shelter will have in July, we need to understand the pattern of how the number of dogs changes each month.
The shelter had 12 dogs in March, 15 dogs in April, 18 dogs in May, and 21 dogs in June.
Let's look at the differences between each month:
April - March = 15 - 12 = 3
May - April = 18 - 15 = 3
June - May = 21 - 18 = 3
We can see that the pattern is to add 3 dogs each month.
To find the number of dogs in July, we add 3 to the number of dogs in June.
21 + 3 = 24
The final answer is 24.",5,"1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)","5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"A dolphin enclosure is 15 meters long and 8 meters wide. If a whale is 5 meters long and needs to swim around the enclosure 3 times, how many meters will the whale swim, and what is the area of the enclosure in square meters?","To find the total distance the whale will swim, we need to calculate the perimeter of the enclosure first because the whale will swim around it. 
The perimeter of a rectangle, like the enclosure, is found by adding all its sides. 
Since the enclosure is 15 meters long and 8 meters wide, its perimeter is 15 + 8 + 15 + 8. 
15 + 8 + 15 + 8 = 46. 
The perimeter of the enclosure is 46 meters. 
The whale needs to swim around the enclosure 3 times, so we multiply the perimeter by 3. 
46 x 3 = 138. 
The whale will swim a total of 138 meters. 
Next, to find the area of the enclosure, we multiply its length by its width. 
The area is 15 x 8 = 120 square meters. 
So, the whale will swim 138 meters, and the area of the enclosure is 120 square meters.
The final answer is 138, and the area is 120",5,"1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure","5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.
5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
A dolphin found 1 3/4 baskets of fish and 2 1/4 baskets of fish in the ocean. How many baskets of fish did the dolphin find in total?,"To find the total number of baskets of fish, we first need to convert the mixed numbers to improper fractions. 
1 3/4 can be converted to an improper fraction by multiplying the whole number (1) by the denominator (4) and adding the numerator (3). 
1 x 4 + 3 = 7
So 1 3/4 is equal to 7/4.
Next, we convert the second mixed number (2 1/4) to an improper fraction. 
2 x 4 + 1 = 9
So 2 1/4 is equal to 9/4.
Now we add the two improper fractions (7/4 and 9/4).
Since the denominators are the same, we add the numerators and keep the same denominator.
7 + 9 = 16
The total number of baskets of fish is 16/4.
To simplify the fraction, we divide the numerator (16) by the denominator (4).
16 / 4 = 4
The final answer is 4.",4,"1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12","4.CE.3 The student will estimate, represent, solve, and justify solutions to single-step problems, including those in context, using addition and subtraction of fractions (proper, improper, and mixed numbers with like denominators of 2, 3, 4, 5, 6, 8, 10, and 12), with and without models; and solve single-step contextual problems involving multiplication of a whole number (12 or less) and a unit fraction, with models.","4.CE.3:
b) Estimate, represent, solve, and justify solutions to single-step contextual problems using addition and subtraction with fractions (proper or improper) and/or mixed numbers, having like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12, and simplify the resulting fraction. Addition and subtraction with fractions may include regrouping."
