question,solution,math_topic,grade,standard,substandard
Amy had 35 mistletoe stickers and wanted to place them equally in 8 cards. How many mistletoe stickers will Amy have left?,"To find out how many mistletoe stickers Amy will have left, we need to divide the total number of stickers (35) by the number of cards (8).

35 / 8 = 4 with a remainder of 3.

This means Amy can put 4 stickers on each card, and she will have 3 stickers left over.

The final answer is 3.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Mrs. Hilt has 40 markers. They are divided equally into 7 packages. Mrs. Hilt wants to know how many markers are leftover?,"To find out how many markers are leftover, we need to divide the total number of markers (40) by the number of packages (7).

40 / 7 = 5 with a remainder of 5.

This means Mrs. Hilt can put 5 markers in each of the 7 packages, and she will have 5 markers left over.

The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Mrs. Smith gave 53 strawberries to 8 girls equally. How many strawberries were left?,"To find out how many strawberries were left, we need to divide the total number of strawberries (53) by the number of girls (8).

53 / 8 = 6 with a remainder of 5.

This means each girl gets 6 strawberries, and there are 5 strawberries left over.

The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"There were 44 laptops in the shop, and Mike divided them equally into 5 rows. How many are left?","To find out how many laptops are left over, we need to divide the total number of laptops (44) by the number of rows (5).

44 / 5 = 8 with a remainder of 4.

This means Mike can put 8 laptops in each of the 5 rows, and there will be 4 laptops left over.

The final answer is 4.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Divide 39 balloons into 7 equal groups. How many balloons are left?,"To divide 39 balloons into 7 equal groups, we need to find out how many balloons are in each group and how many are left over.

We can think about multiples of 7. What's the closest we can get to 39 by multiplying 7 by a whole number?

7 x 5 = 35

35 is the closest we can get to 39 without going over. This means we can put 5 balloons in each of the 7 groups.

Now, let's find out how many balloons are left over:

39 - 35 = 4

There are 4 balloons left over.

The final answer is 4.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
The school bought 54 basketballs and distribute them into 7 classes equally. How many basketballs are left?,"To find out how many basketballs are left, we need to divide the total number of basketballs (54) by the number of classes (7). We only want to know how many *whole* basketballs each class gets, so we need to find the largest whole number that fits into 54 when multiplied by 7.

7 x 7 = 49
7 x 8 = 56 (This is too big!)

This means each of the 7 classes can get 7 basketballs. 

Now, let's find out how many basketballs are left over. We started with 54 basketballs and gave out 49 (7 classes x 7 basketballs/class).

54 - 49 = 5

There are 5 basketballs left over.
The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"A coat factory had 29 coats. If they wanted to put them into 3 boxes, with the same number of coats in each box, how many extra coats would they have left over?","To find out how many extra coats the factory would have left over, we need to divide the total number of coats (29) by the number of boxes (3).

29 / 3 = 9 with a remainder of 2.

This means they can put 9 coats in each box, and they will have 2 coats left over.

The final answer is 2.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"At the carnival, 6 friends bought 27 tickets. If they wanted to split all the tickets so each friend got the same amount, how many more tickets would they need to buy?","To find out how many more tickets they need to buy, we first need to divide the total number of tickets (27) by the number of friends (6).
27 / 6 = 4 with a remainder of 3.
This means each friend can have 4 tickets, and there will be 3 tickets left over. 

Since they want to split all the tickets equally, they need enough tickets so that 6 divides evenly into the total. The next number after 27 that 6 divides into evenly is 30. 

To find out how many more tickets they need, we subtract the number of tickets they have (27) from the number of tickets they need (30).
30 - 27 = 3

The final answer is 3.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"At the carnival, nine friends bought eight hundred sixty-five tickets. If they wanted to split all the tickets so each friend got the same amount, how many more tickets would they need to buy?","To find out how many more tickets they need to buy, we first need to divide the total number of tickets (865) by the number of friends (9).
865 / 9 = 96 with a remainder of 1.
This means each friend can get 96 tickets, and there will be 1 ticket left over. 
To have enough tickets so each friend gets the same amount with no tickets left over, they need to have a total number of tickets that is divisible by 9. Since there is 1 ticket left over, they need 8 more tickets to reach the next number divisible by 9. (1 + 8 = 9, which is divisible by 9).
The final answer is 8.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"Billy had six hundred fifty pieces of candy. If he wants to split the candy into three bags with the same amount of candy in each bag, how many more pieces would he need to make sure each bag had the same amount?","To find out how many pieces of candy Billy can put in each bag, we need to divide the total number of pieces of candy (650) by the number of bags (3).
650 / 3 = 216 with a remainder of 2.

This means Billy can put 216 pieces of candy in each bag, and he will have 2 pieces left over. 

To make sure each bag has the same amount, Billy needs to have enough candy so the 2 leftover pieces can be divided equally into the 3 bags. He needs 1 more piece of candy to make a total of 3 leftover pieces (2 + 1 = 3). Then he can put 1 more piece in each bag!

The final answer is 1.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"An online toy store stocked some toys. It sold 38 toys at the first week and 26 toys at the second week. If it had 19 toys left, how many toys were in stock at the beginning?","To find out how many toys were in stock at the beginning, we need to add the number of toys sold to the number of toys left.
The store sold 38 toys in the first week and 26 toys in the second week. 
First, let's find the total number of toys sold:
38 + 26 = 64
The store sold 64 toys in total.
We know the store had 19 toys left after selling some. To find the original number of toys, we add the number sold to the number remaining:
64 + 19 = 83
The final answer is 83.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"Gary had some stickers. He gave 42 stickers to Lucy and 26 stickers to Alex. If he had 31 stickers left, how many stickers did Gary have at first?","To find out how many stickers Gary had at first, we need to figure out the total number of stickers he gave away.
Gary gave 42 stickers to Lucy and 26 stickers to Alex. 
To find the total number of stickers he gave away, we add the number he gave to Lucy and the number he gave to Alex:
42 + 26 = 68
This means Gary gave away 68 stickers in total.
We know Gary had 31 stickers left. To find how many stickers he had at first, we need to add the number of stickers he gave away to the number he had left:
68 + 31 = 99
The final answer is 99.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"A box of computer paper has two hundred twenty-one sheets left in it. If each printer in a computer lab needed seven sheets, how many printers would the box fill up?","To find out how many printers the box of computer paper can fill, we need to divide the total number of sheets (221) by the number of sheets each printer needs (7).

221 / 7 = 31 with a remainder of 4.

This means the box can fill 31 printers completely. There will be 4 sheets left over.

The final answer is 31.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Megan had three hundred seventy-two songs on her mp3 player. If she wanted to put the songs equally into nine different playlists, how many songs would she have left over?","To find out how many songs Megan would have left over, we need to divide the total number of songs (372) by the number of playlists (9).

372 / 9 = 41 with a remainder of 3.

This means Megan can make 9 playlists with 41 songs each, and she will have 3 songs left over.

The final answer is 3.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
A post office has five hundred eighty-two pieces of junk mail they want to split evenly between seven mail trucks. How many extra pieces of junk mail will they have if they give each truck the same amount?,"To find out how many extra pieces of junk mail the post office will have, we need to divide the total number of pieces of junk mail (582) by the number of mail trucks (7).

582 / 7 = 83 with a remainder of 1.

This means each truck gets 83 pieces of junk mail, and there is 1 piece left over.

The final answer is 1.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Jack is reading a 285-page book. If he reads 23 pages per day, how many days will he take to finish reading the book?","To find out how many days Jack will take to finish the book, we need to divide the total number of pages (285) by the number of pages he reads each day (23).

285 / 23 = 12.39

This means it will take Jack a little more than 12 days to finish the book. Since Jack can't read a fraction of a day, we need to round up to the next whole number to make sure he finishes the entire book.

Therefore, Jack will take 13 days to finish reading the book.

The final answer is 13.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"For Halloween Adam received 201 pieces of candy. If he put them into piles with 43 in each pile, approximately how many piles could he make?","To find out approximately how many piles Adam can make, we need to divide the total number of pieces of candy (201) by the number of pieces he wants to put in each pile (43).
201 / 43 = 4.67
Since we can't have parts of piles, we need to round this number to the nearest whole number. 4.67 is closest to 5.
Therefore, Adam can make approximately 5 piles of candy.
The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"There were 31 groups of people at the bowling alley. If the total number of people was 177, about how many people were in each group?","To find out how many people were in each group, we need to divide the total number of people (177) by the number of groups (31).
177 / 31 = 5.71
Since we can't have a fraction of a person, we round 5.71 to the nearest whole number, which is 6.
Therefore, there were about 6 people in each group.
The final answer is 6.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Cups are sold 5 to a package and plates are sold 10 to a package. If you want to have the same number of each item for a party, what is the least number of packages of each you need to buy?","To find the least number of packages of each item we need to buy, we first need to find the least common multiple (LCM) of 5 and 10. 
The multiples of 5 are: 5, 10, 15, 20, 25, 30,...
The multiples of 10 are: 10, 20, 30, 40,...
The least common multiple of 5 and 10 is 10.
This means we need 10 cups and 10 plates for the party.
To find how many packages of cups we need to buy, we divide the number of cups we need (10) by the number of cups per package (5).
10 / 5 = 2
To find how many packages of plates we need to buy, we divide the number of plates we need (10) by the number of plates per package (10).
10 / 10 = 1
So we need to buy 2 packages of cups and 1 package of plates.
The final answer is 2 packages of cups and 1 package of plates.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits."
Tina had a large collection of beanie babies. She gave 8 beanie babies to her cousin. She gave half that amount to her sister. She gave 36 beanie babies to needy children. She kept 12 for herself. How many beanie babies were in Tina's collection at first?,"To find out how many beanie babies Tina had at first, we need to add up all the beanie babies she gave away and the ones she kept. 
Tina gave 8 beanie babies to her cousin. 
She gave half of 8 to her sister, which is 8 / 2 = 4 beanie babies. 
She also gave 36 beanie babies to needy children. 
And she kept 12 beanie babies for herself. 
Now, we add all these numbers together: 8 + 4 + 36 + 12 = 60. 
Therefore, Tina started with 60 beanie babies.
The final answer is 60.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits."
"A tourist group has 26 people. At a hotel, they want to rent some large rooms for 3 people each and some small rooms for 2 each. In order to rent the least number of rooms and have every room fully occupied, how many small rooms should be rented?","To solve this problem, we need to find a combination of large rooms (for 3 people) and small rooms (for 2 people) that fits all 26 tourists with the fewest total rooms.

Let's start by trying to use as many large rooms as possible. If we use 8 large rooms, that holds 8 x 3 = 24 people. That leaves 26 - 24 = 2 people. These 2 people can fit into 1 small room. This uses 8 + 1 = 9 rooms total.

Let's see if we can use fewer rooms. If we use 7 large rooms, that holds 7 x 3 = 21 people. That leaves 26 - 21 = 5 people. We can fit 2 of those people into 1 small room, leaving 3 people. We would then need 2 small rooms to fit the remaining 3 people (since a small room only holds 2). This uses 7 + 1 + 2 = 10 rooms total, which is more than 9 rooms.

Since using 8 large rooms and 1 small room gives us the fewest total rooms, that's the best solution.

Therefore, the hotel should rent 1 small room.
The final answer is 1.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"Mr. Lee wants to load 134 tons of his fruits. A large truck can load 15 tons of fruits and small truck can load 7 tons. In order to use the least number of trucks and have every truck fully occupied, how many large trucks should be used?","To find out how many large trucks Mr. Lee should use, we need to divide the total tons of fruit (134) by the amount each large truck can hold (15).
134 / 15 = 8 with a remainder of 14.
This means Mr. Lee can fill 8 large trucks completely. There will be 14 tons of fruit left over.
Since the question asks for the number of large trucks to use while fully occupying every truck, we want to use as many large trucks as possible. Using 8 large trucks leaves 14 tons for small trucks, which can be fully occupied.
The final answer is 8.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"Mr. Lee harvested 495 apples and he packed them evenly in some baskets. If there are 25 apples in each basket, how many baskets of apples are there?","To find the number of baskets, we need to divide the total number of apples (495) by the number of apples in each basket (25).
495 / 25 = 19.8
Since we can only have whole baskets, Mr. Lee can fill 19 baskets completely.
The final answer is 19.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
"A ballet class wants to divide its 90 members into some large groups at 7 members each and some small groups at 3 members each. In order to make the least number of groups, how many large groups should be made?","To find out how many large groups can be made, we need to divide the total number of ballet members (90) by the number of members in each large group (7).

90 / 7 = 12 with a remainder of 6.

This means we can make 12 large groups with 7 members each, and there will be 6 members left over. Since the question asks for the *most* large groups we can make, the answer is 12. The remaining 6 members can be put into smaller groups.

The final answer is 12.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
A company donates 935 pencils to a school. The pencils are divided evenly among 9 classrooms. The rest of the pencils are given to the library. How many pencils were donated to the library?,"To find out how many pencils were donated to the library, we first need to divide the total number of pencils donated (935) by the number of classrooms (9).

935 / 9 = 103 with a remainder of 8.

This means each classroom gets 103 pencils, and there are 8 pencils left over. Since the leftover pencils are given to the library, 8 pencils were donated to the library.

The final answer is 8.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
A florist needed to use 2 pounds of fertilizer for 9 days and then on the 10th and final day use the normal amount plus another 4 pounds. How many pounds of fertilizer will she use all together?,"To solve this problem, we first need to find the amount of fertilizer the florist used on the first 9 days by multiplying the amount of fertilizer used each day (2 pounds) by the number of days (9)
2 x 9 = 18 
Next, we need to find how many pounds of fertilizer the florist used on the last day by adding 4 extra pounds to the amount the florist used each day before (2 pounds)
4 + 2 = 6 
To find the total amount of fertilizer she used altogether, we need to add the amount of fertilizer she used in the first 9 days (18 pounds) to the amount she used on the final day (6 pounds)
18 + 6 = 24 
The florist used 24 pounds of fertilizer in total
The final answer is 24","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
