,prompt,question
259,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The red scarf is about 12 buttons long. The blue scarf is 7 buttons shorter than the red scarf. The purple scarf is 3 buttons longer than the blue scarf. Which is the longest?",The red scarf is about 12 buttons long. The blue scarf is 7 buttons shorter than the red scarf. The purple scarf is 3 buttons longer than the blue scarf. Which is the longest?
260,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three strings. The pink string is 6 paper clips long. The purple string is 2 paper clips shorter than the pink string. The blue string is 1 paper clip longer than the purple string. Which string is the shortest?",There are three strings. The pink string is 6 paper clips long. The purple string is 2 paper clips shorter than the pink string. The blue string is 1 paper clip longer than the purple string. Which string is the shortest?
261,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#A teacher assigns four different lengths of rope for a class activity. The first rope measures 10 feet. The second rope is 3 feet shorter than the first. The third rope is 2 feet longer than the second. The fourth rope is 4 feet shorter than the first. Which rope is the longest?",A teacher assigns four different lengths of rope for a class activity. The first rope measures 10 feet. The second rope is 3 feet shorter than the first. The third rope is 2 feet longer than the second. The fourth rope is 4 feet shorter than the first. Which rope is the longest?
262,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The pink straw is shorter than the purple straw. The purple straw is shorter than the blue straw. Which is the shortest?",The pink straw is shorter than the purple straw. The purple straw is shorter than the blue straw. Which is the shortest?
263,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The toy elephant is longer than the toy lion. The toy lion is longer than the toy mouse. Which is the shortest?",The toy elephant is longer than the toy lion. The toy lion is longer than the toy mouse. Which is the shortest?
264,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The green snake is shorter than the brown snake. The brown snake is shorter than the orange snake. Which is the longest?",The green snake is shorter than the brown snake. The brown snake is shorter than the orange snake. Which is the longest?
265,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The pencil is shorter than the crayon. The crayon is shorter than the marker. Which is the longest?",The pencil is shorter than the crayon. The crayon is shorter than the marker. Which is the longest?
266,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The snake toy is 8 rubber bands long. The lizard toy is 5 rubber bands long. The turtle toy is 1 rubber band shorter than the lizard toy. Which toy is the shortest?",The snake toy is 8 rubber bands long. The lizard toy is 5 rubber bands long. The turtle toy is 1 rubber band shorter than the lizard toy. Which toy is the shortest?
267,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The train has a length of 3 cars. The red car is 2 cars long. The blue car is 1 car shorter than the red car. The green car is 3 cars longer than the blue car. Which car is the longest?",The train has a length of 3 cars. The red car is 2 cars long. The blue car is 1 car shorter than the red car. The green car is 3 cars longer than the blue car. Which car is the longest?
268,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The orange balloon is shorter than the pink balloon. The pink balloon is shorter than the purple balloon. Which is the shortest?",The orange balloon is shorter than the pink balloon. The pink balloon is shorter than the purple balloon. Which is the shortest?
269,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown caterpillar is about 9 leaves long. The green caterpillar is about 6 leaves long. The yellow caterpillar is 1 leaf longer than the green caterpillar. Which is the longest?",The brown caterpillar is about 9 leaves long. The green caterpillar is about 6 leaves long. The yellow caterpillar is 1 leaf longer than the green caterpillar. Which is the longest?
270,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three jars. The pink jar is 3 candies tall. The orange jar is 1 candy taller than the pink jar. The yellow jar is 2 candies shorter than the orange jar. Which jar is the shortest?",There are three jars. The pink jar is 3 candies tall. The orange jar is 1 candy taller than the pink jar. The yellow jar is 2 candies shorter than the orange jar. Which jar is the shortest?
271,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three lines. The red line is about 5 paper clips long. The purple line is 2 paper clip shorter than the red line. The green line is 3 paper clips longer than the red line. Which is the longest?",There are three lines. The red line is about 5 paper clips long. The purple line is 2 paper clip shorter than the red line. The green line is 3 paper clips longer than the red line. Which is the longest?
272,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three toy cars. The yellow car is 15 toy blocks long. The green car is 6 toy blocks shorter than the yellow car. The blue car is 9 toy blocks longer than the yellow car. Which is the longest?",There are three toy cars. The yellow car is 15 toy blocks long. The green car is 6 toy blocks shorter than the yellow car. The blue car is 9 toy blocks longer than the yellow car. Which is the longest?
273,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The rubber band is shorter than the string. The string is shorter than the yarn. Which is the shortest?",The rubber band is shorter than the string. The string is shorter than the yarn. Which is the shortest?
274,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The big apple is shorter than the tall banana. The tall banana is shorter than the long carrot. Which is the longest?",The big apple is shorter than the tall banana. The tall banana is shorter than the long carrot. Which is the longest?
275,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown leaf is shorter than the red leaf. The red leaf is shorter than the yellow leaf. Which is the shortest?",The brown leaf is shorter than the red leaf. The red leaf is shorter than the yellow leaf. Which is the shortest?
276,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown shoe lace is shorter than the white shoe lace. The white shoe lace is shorter than the yellow shoe lace. Which is the longest?",The brown shoe lace is shorter than the white shoe lace. The white shoe lace is shorter than the yellow shoe lace. Which is the longest?
277,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The red ribbon is about 3 yarn balls long. The green ribbon spans approximately 5 yarn balls. The purple ribbon falls short of the green ribbon by 2 yarn balls in length. Can you determine the longest ribbon in terms of yarn balls?",The red ribbon is about 3 yarn balls long. The green ribbon spans approximately 5 yarn balls. The purple ribbon falls short of the green ribbon by 2 yarn balls in length. Can you determine the longest ribbon in terms of yarn balls?
278,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The train track is about 20 paper clips long. The station platform is 8 paper clips long. The train is 5 paper clips shorter than the track. Which is the shortest?",The train track is about 20 paper clips long. The station platform is 8 paper clips long. The train is 5 paper clips shorter than the track. Which is the shortest?
279,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The toy train is shorter than the toy bus. The toy bus is shorter than the toy airplane. Which is the longest?",The toy train is shorter than the toy bus. The toy bus is shorter than the toy airplane. Which is the longest?
280,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Consider that the length of the pink straw is roughly equivalent to 6 paper clips. The green straw is 3 paper clips long. The yellow straw is 2 paper clips shorter than the green straw. Which straw is the shortest?",Consider that the length of the pink straw is roughly equivalent to 6 paper clips. The green straw is 3 paper clips long. The yellow straw is 2 paper clips shorter than the green straw. Which straw is the shortest?
281,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#29. The toy dog is longer than the toy cat. The toy cat is longer than the toy mouse. Which is the shortest?",29. The toy dog is longer than the toy cat. The toy cat is longer than the toy mouse. Which is the shortest?
282,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The red sock is shorter than the blue sock. The blue sock is shorter than the green sock. Which is the longest?",The red sock is shorter than the blue sock. The blue sock is shorter than the green sock. Which is the longest?
283,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown stick is 7 paper clips long. The orange stick is 4 paper clips long. The yellow stick is 2 paper clips longer than the orange stick. Which stick is the longest?",The brown stick is 7 paper clips long. The orange stick is 4 paper clips long. The yellow stick is 2 paper clips longer than the orange stick. Which stick is the longest?
284,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are four sticks. The brown stick is 7 paper clips long. The green stick is 4 paper clips shorter than the brown stick. The yellow stick is 2 paper clips longer than the green stick. The orange stick is 3 paper clips shorter than the brown stick. Which stick is the longest?",There are four sticks. The brown stick is 7 paper clips long. The green stick is 4 paper clips shorter than the brown stick. The yellow stick is 2 paper clips longer than the green stick. The orange stick is 3 paper clips shorter than the brown stick. Which stick is the longest?
285,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown yarn is about 6 paper clips long. The white yarn is about 3 paper clips long. The black yarn is 1 paper clip longer than the white yarn. Which yarn is the shortest?",The brown yarn is about 6 paper clips long. The white yarn is about 3 paper clips long. The black yarn is 1 paper clip longer than the white yarn. Which yarn is the shortest?
286,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are four straws. The green straw is 3 paper clips longer than the yellow straw. The red straw is 2 paper clips shorter than the green straw. The blue straw is 1 paper clip longer than the red straw. Which straw is the longest?",There are four straws. The green straw is 3 paper clips longer than the yellow straw. The red straw is 2 paper clips shorter than the green straw. The blue straw is 1 paper clip longer than the red straw. Which straw is the longest?
287,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Imagine you have three different colored sticks. The green stick is as long as 7 paper clips put together. The yellow stick is as long as 4 paper clips put together. The red stick is a bit special, itâ€™s as long as the yellow stick plus 3 more paper clips. Can you tell which stick is the shortest?","Imagine you have three different colored sticks. The green stick is as long as 7 paper clips put together. The yellow stick is as long as 4 paper clips put together. The red stick is a bit special, itâ€™s as long as the yellow stick plus 3 more paper clips. Can you tell which stick is the shortest?"
288,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The yellow string is longer than the blue string. The blue string is longer than the green string. Which is the shortest?",The yellow string is longer than the blue string. The blue string is longer than the green string. Which is the shortest?
289,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The toy bear is longer than the toy cat. The toy cat is longer than the toy bird. Which is the shortest?",The toy bear is longer than the toy cat. The toy cat is longer than the toy bird. Which is the shortest?
290,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The red line is 15 paper clips long. The blue line is 8 paper clips long. The green line is 4 paper clips longer than the blue line. Which line is the longest?",The red line is 15 paper clips long. The blue line is 8 paper clips long. The green line is 4 paper clips longer than the blue line. Which line is the longest?
291,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The blue string measures 5 bottle caps in length. The red string measures 3 bottle caps in length. The orange string is 2 bottle caps longer than the blue string. Which string is the longest?",The blue string measures 5 bottle caps in length. The red string measures 3 bottle caps in length. The orange string is 2 bottle caps longer than the blue string. Which string is the longest?
292,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The red ribbon measures 12 buttons in length. The green ribbon measures 6 buttons in length. The purple ribbon is 3 buttons longer than the green ribbon. Which ribbon is the longest when measured in buttons?",The red ribbon measures 12 buttons in length. The green ribbon measures 6 buttons in length. The purple ribbon is 3 buttons longer than the green ribbon. Which ribbon is the longest when measured in buttons?
293,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three ribbons. The red ribbon is 5 paper clips long. The orange ribbon is 2 paper clips shorter than the red ribbon. The yellow ribbon is 1 paper clip shorter than the orange ribbon.Which ribbon is the longest?",There are three ribbons. The red ribbon is 5 paper clips long. The orange ribbon is 2 paper clips shorter than the red ribbon. The yellow ribbon is 1 paper clip shorter than the orange ribbon.Which ribbon is the longest?
294,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The yellow line is about 13 pencils long. The green line is about 11 pencils long. The blue line is 1 pencil longer than the green line. Which line is the longest?",The yellow line is about 13 pencils long. The green line is about 11 pencils long. The blue line is 1 pencil longer than the green line. Which line is the longest?
295,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The big eraser is 5 paper clips long. The small eraser is 2 paper clips long. The medium eraser is 1 paper clip longer than the small eraser. Which eraser is the longest?",The big eraser is 5 paper clips long. The small eraser is 2 paper clips long. The medium eraser is 1 paper clip longer than the small eraser. Which eraser is the longest?
296,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The rubber duck is shorter than the toy boat. The toy boat is shorter than the toy fish. Which is the shortest?",The rubber duck is shorter than the toy boat. The toy boat is shorter than the toy fish. Which is the shortest?
297,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The brown crayon is 9 paper clips long. The green crayon is 5 paper clips long. The purple crayon is 1 paper clip shorter than the brown crayon. Which is the shortest?",The brown crayon is 9 paper clips long. The green crayon is 5 paper clips long. The purple crayon is 1 paper clip shorter than the brown crayon. Which is the shortest?
298,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Imagine you have three lines of different colors. The green line is as long as 8 toothpicks put together. The blue line is as long as 6 toothpicks put together. The red line is a bit different, itâ€™s as long as the green line minus 2 toothpicks. Can you tell which line is the shortest?","Imagine you have three lines of different colors. The green line is as long as 8 toothpicks put together. The blue line is as long as 6 toothpicks put together. The red line is a bit different, itâ€™s as long as the green line minus 2 toothpicks. Can you tell which line is the shortest?"
299,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three ribbons. The pink ribbon is about 12 paper clips long. The green ribbon is 4 paper clips shorter than the pink ribbon. The purple ribbon is 6 paper clips longer than the green ribbon. Which is the longest?",There are three ribbons. The pink ribbon is about 12 paper clips long. The green ribbon is 4 paper clips shorter than the pink ribbon. The purple ribbon is 6 paper clips longer than the green ribbon. Which is the longest?
300,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Among the three pencils, the red pencil is shorter than the blue pencil. The blue pencil is shorter than the green pencil. Which pencil is the shortest when measured with a ruler?","Among the three pencils, the red pencil is shorter than the blue pencil. The blue pencil is shorter than the green pencil. Which pencil is the shortest when measured with a ruler?"
301,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are four toy boats. The blue boat is 9 paper clips long. The red boat is 4 paper clips longer than the blue boat. The green boat is 2 paper clips shorter than the red boat. The yellow boat is 1 paper clip longer than the green boat. Which is the longest?",There are four toy boats. The blue boat is 9 paper clips long. The red boat is 4 paper clips longer than the blue boat. The green boat is 2 paper clips shorter than the red boat. The yellow boat is 1 paper clip longer than the green boat. Which is the longest?
302,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three pencils. The blue pencil is 12 paper clips long. The green pencil is 6 paper clips shorter than the blue pencil. The red pencil is 4 paper clips longer than the green pencil. Which is the longest?",There are three pencils. The blue pencil is 12 paper clips long. The green pencil is 6 paper clips shorter than the blue pencil. The red pencil is 4 paper clips longer than the green pencil. Which is the longest?
303,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Consider that the length of the purple line is about 8 paper clips long. The yellow line is about 3 paper clips long. The green line is 2 paper clips longer than the yellow line. Which line is the longest?",Consider that the length of the purple line is about 8 paper clips long. The yellow line is about 3 paper clips long. The green line is 2 paper clips longer than the yellow line. Which line is the longest?
304,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The toy rocket is longer than the toy truck. The toy truck is longer than the toy car. Which is the shortest?",The toy rocket is longer than the toy truck. The toy truck is longer than the toy car. Which is the shortest?
305,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The book is shorter than the notebook. The notebook is shorter than the folder. Which is the longest?",The book is shorter than the notebook. The notebook is shorter than the folder. Which is the longest?
306,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The bookshelf has fewer books than the table. The table has fewer books than the cupboard. Which has the most books?",The bookshelf has fewer books than the table. The table has fewer books than the cupboard. Which has the most books?
307,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The orange line is about 5 paper clips long. The green line is about 2 paper clips long. The blue line is 1 paper clip longer than the green line. Which line is the longest?",The orange line is about 5 paper clips long. The green line is about 2 paper clips long. The blue line is 1 paper clip longer than the green line. Which line is the longest?
308,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The purple snake is 4 blocks long. The yellow snake is 2 blocks long. The green snake is 1 block longer than the yellow snake. Which snake is the longest?",The purple snake is 4 blocks long. The yellow snake is 2 blocks long. The green snake is 1 block longer than the yellow snake. Which snake is the longest?
309,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three apples. The green apple is 3 paper clips long. The yellow apple is 1 paper clip shorter than the green apple. The red apple is 2 paper clips longer than the yellow apple. Which is the shortest?",There are three apples. The green apple is 3 paper clips long. The yellow apple is 1 paper clip shorter than the green apple. The red apple is 2 paper clips longer than the yellow apple. Which is the shortest?
310,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The toy dinosaur is longer than the toy horse. The toy horse is longer than the toy dog. Which is the shortest?",The toy dinosaur is longer than the toy horse. The toy horse is longer than the toy dog. Which is the shortest?
311,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Among the three pencils, the red pencil longer than the blue pencil. The blue pencil is longer than the green pencil. Which pencil is the longest?","Among the three pencils, the red pencil longer than the blue pencil. The blue pencil is longer than the green pencil. Which pencil is the longest?"
312,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three pencils. The red pencil measures 7 erasers in length. The purple pencil is 2 erasers shorter than the red pencil. The blue pencil is 4 erasers longer than the purple pencil. Which pencil is the longest?",There are three pencils. The red pencil measures 7 erasers in length. The purple pencil is 2 erasers shorter than the red pencil. The blue pencil is 4 erasers longer than the purple pencil. Which pencil is the longest?
313,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The purple kite tail is 15 paper clips long. The orange kite tail is 8 paper clips long. The green kite tail is 4 paper clips longer than the orange kite tail. Which kite tail is the longest?",The purple kite tail is 15 paper clips long. The orange kite tail is 8 paper clips long. The green kite tail is 4 paper clips longer than the orange kite tail. Which kite tail is the longest?
314,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The yellow ribbon is shorter than the blue ribbon. The blue ribbon is shorter than the red ribbon. Which is the shortest?",The yellow ribbon is shorter than the blue ribbon. The blue ribbon is shorter than the red ribbon. Which is the shortest?
315,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three markers. The black marker is about 15 paper clips long. The brown marker is 5 paper clips shorter than the black marker. The blue marker is 3 paper clips longer than the brown marker. Which is the longest?",There are three markers. The black marker is about 15 paper clips long. The brown marker is 5 paper clips shorter than the black marker. The blue marker is 3 paper clips longer than the brown marker. Which is the longest?
316,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are four hats. The orange hat is about 7 paper clips tall. The brown hat is 1 paper clip shorter than the orange hat. The purple hat is 3 paper clips taller than the brown hat. The blue hat is 2 paper clips shorter than the purple hat. Which is the longest?",There are four hats. The orange hat is about 7 paper clips tall. The brown hat is 1 paper clip shorter than the orange hat. The purple hat is 3 paper clips taller than the brown hat. The blue hat is 2 paper clips shorter than the purple hat. Which is the longest?
317,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are three ropes. The pink rope is about 10 paper clips long. The blue rope is 3 paper clips shorter than the pink rope. The purple rope is 5 paper clips longer than the pink rope. Which is the longest?",There are three ropes. The pink rope is about 10 paper clips long. The blue rope is 3 paper clips shorter than the pink rope. The purple rope is 5 paper clips longer than the pink rope. Which is the longest?
318,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The orange line is about 7 matchsticks long. The brown line is about 5 matchsticks long. The black line is 1 matchstick longer than the brown line. Which line is the longest?",The orange line is about 7 matchsticks long. The brown line is about 5 matchsticks long. The black line is 1 matchstick longer than the brown line. Which line is the longest?
319,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Measurement,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The yellow ruler is shorter than the blue ruler. The blue ruler is shorter than the green ruler. Which is the shortest?",The yellow ruler is shorter than the blue ruler. The blue ruler is shorter than the green ruler. Which is the shortest?
320,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Single-digit Addition,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Dave sees 4 birds. Bob sees 6 more than Dave. How many birds does Bob see?",Dave sees 4 birds. Bob sees 6 more than Dave. How many birds does Bob see?
321,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Single-digit Addition,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#In the music room, there are 7 drums and 1 tambourine. How many musical instruments are there?","In the music room, there are 7 drums and 1 tambourine. How many musical instruments are there?"
322,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Single-digit Addition,
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Tim has 7 hats. He buys 5 more hats. How many hats does Tim have now?",Tim has 7 hats. He buys 5 more hats. How many hats does Tim have now?
